NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;DESC. TIPO SIST.;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;
MTO/BKN/27;1655007;B.K. 14544 - C.C. GRAN PLAZA;2;CAMPANA BROILER               ;19-NOV-02;18-JUN-13;ANSUL          ;R-102;  5;  1;  4;119139 de jun-02    ;         ;                    ;
MTO/BKN/28;1655006;B.K. 14368 - C.C. LOS PATIOS;1;CAMPANA FREIDORAS             ;28-JUN-02;19-JUN-13;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-MAY-02;                    ;
MTO/BKN/28;1655006;B.K. 14368 - C.C. LOS PATIOS;2;CAMPANA BROILER               ;28-JUN-02;19-JUN-13;ANSUL          ;R-102;  5;  4;  4;LT-30; 1-MAR-03;                    ;
MTO/BKN/29;1655018;B.K. 13693 - JAEN;1;CAMPANA FREIDORAS;21-DIC-00;21-JUN-13;ANSUL          ;R-102; 11;  3;  6;LT30RE;         ;;
MTO/BKN/29;1655018;B.K. 13693 - JAEN;2;CAMPANA BROILER;21-DIC-00;21-JUN-13;ANSUL          ;R-102;  7;  1;  4;LT30RE;         ;;
MTO/BKN/30;1655011;B.K. 15152 - C.C KINEPOLIS;1;CAMPANA FREIDORAS (4)         ;25-NOV-04;23-ENE-13;ANSUL          ;R-102; 11;  4;  6;                    ;         ;                    ;
MTO/BKN/30;1655011;B.K. 15152 - C.C KINEPOLIS;2;CAMPANA BROILER               ;25-NOV-04;23-ENE-13;ANSUL          ;R-102;  7;  1;  4;                    ;         ;                    ;
MTO/BKN/31;1655014;B.K. 15275 - LA ROCA - REPSOL;1;CAMPANA FREIDORAS (4)         ; 7-MAR-05;26-ENE-13;ANSUL          ;R-102; 11;  3;  6;3-2001              ;         ;                    ;
MTO/BKN/31;1655014;B.K. 15275 - LA ROCA - REPSOL;2;CAMPANA BROILER               ; 7-MAR-05;26-ENE-13;ANSUL          ;R-102;  7;  1;  4;3-2001              ;         ;                    ;
MTO/BKN/32;1655015;B.K. 15331 - MALAGA NOSTRUM;1;CAMPANA FREIDORAS (4)         ;20-JUN-05;18-JUN-13;ANSUL          ;R-102; 11;  4;  6;                    ;         ;001798*F∫2004       ;
MTO/BKN/32;1655015;B.K. 15331 - MALAGA NOSTRUM;2;CAMPANA BROILER               ;20-JUN-05;18-JUN-13;ANSUL          ;R-102;  5;  2;  3;                    ;         ;601658*F∫2004       ;
MTO/BKN/33;1655017;B.K. 15857 - ATABAL;1;CAMPANA FREIDORAS;13-MAR-07;24-ENE-13;ANSUL          ;R-102; 11;  4;  6;LT-30-R;         ;004255;
MTO/BKN/33;1655017;B.K. 15857 - ATABAL;2;CAMPANA BROILER;13-MAR-07;24-ENE-13;ANSUL          ;R-102;  7;  2;  4;LT-30-R;         ;004206;
MTO/BKN/34;1655019;B.K. 17043 -  C.C. ALHSUR ;1;CAMPANA FRANKE; 3-MAR-09;23-ENE-13;ANSUL          ;R-102 TANDEM; 18;  6; 10;;         ;;
MTO/BKN/35;1655020;B.K. 17639 - C.C. CAVALERI;1;CAMPANA FREIDORAS;12-NOV-10;20-JUN-13;ANSUL          ;R-102; 11;  3;  6;LT-30; 1-FEB-10;S-008242;
MTO/BKN/35;1655020;B.K. 17639 - C.C. CAVALERI;2;CAMPANA BROILER;12-NOV-10;20-JUN-13;ANSUL          ;R-102;  7;  1;  4;LT-30; 1-FEB-01;S-008226;
MTO/BKN/36;1655021;B.K. 17932 - C.C. NEXT SHOPPING;1;CAMPANA FREIDORAS;17-DIC-10;19-JUN-13;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-AGO-08;S-008196;
MTO/BKN/36;1655021;B.K. 17932 - C.C. NEXT SHOPPING;2;CAMPANA BROILER;17-DIC-10;19-JUN-13;ANSUL          ;R-102;  7;  1;  4;LT-30; 1-MAR-10;S-007199;
MTO/BKN/37;1655022;B.K. 17983 - C.C. MALAGA PLAZA;1;CAMPANA FREIDORAS;29-DIC-10;24-ENE-13;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-MAR-10;S-008194;
MTO/BKN/37;1655022;B.K. 17983 - C.C. MALAGA PLAZA;2;CAMPANA BROILER;29-DIC-10;24-ENE-13;ANSUL          ;R-102;  7;  1;  4;LT-30; 1-MAR-10;S-008297;
MTO/BKN/38;1655023;B.K. 11492 - HUELVA;1;CAMPANA FREIDORAS;14-MAY-99;24-ENE-13;ANSUL          ;R-102; 11;  3;  6;LT-30;         ;;
MTO/BKN/38;1655023;B.K. 11492 - HUELVA;2;CAMPANA BROILER;14-MAY-99;24-ENE-13;ANSUL          ;R-102;  7;  1;  4;LT-30;         ;;
MTO/BKN/39;1655024;B.K. 18084 - SAN LUIS;1;CAMPANA FREIDORAS;26-JUL-11;24-ENE-13;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-FEB-10;S-008428;
MTO/BKN/39;1655024;B.K. 18084 - SAN LUIS;2;CAMPANA BROILER;26-JUL-11;24-ENE-13;ANSUL          ;R-102;  7;  1;  4;LT-30; 1-FEB-10;S-008796;
MTO/BKN/40;1655025;B.K. 18225 - PACIFICO;1;CAMPANA FREIDORAS;10-AGO-11;26-ENE-13;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-FEB-10;S-008432;
MTO/BKN/40;1655025;B.K. 18225 - PACIFICO;2;CAMPANA BROILER;10-AGO-11;26-ENE-13;ANSUL          ;R-102;  7;  1;  4;LT-30; 1-FEB-10;S-008449;
MTO/BKN/41;1655026;B.K. 18224 - C.C. ALAVERA;1;CAM. FEIDORAS + CAM. BROILER;30-AGO-11;24-ENE-13;ANSUL          ;R-102 TANDEM; 18;  4; 10;DOBLE TANK; 1-JUN-09;S-008957;
MTO/BKN/42;1655047;B.K. nß 18.255 - CORTE INGLES CADIZ;1;CAMP. BROILER Y CAMP.FREIDORAS;         ;26-ENE-13;ANSUL          ;R-102 TANDEM; 18;  5; 10;DOBLE TANK;         ;;
MTO/BKN/43;1655027;B.K. 18706-Avda. Constituci¢n (SEVILLA);1;CAMPANA FREIDORAS+CAMP BROILER;22-NOV-11;20-JUN-13;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-NOV-09;S-009380;
MTO/BKN/44;1655048;B.K. 18518 - CC SERRALLO PLAZA;1;;27-MAR-12; 4-DIC-12;SF/A 300       ;TANDEM; 18;  6; 10;;         ;;
MTO/BKQ BAJA;0023037;BURGER KING TORRENTE (CERRADO);1;CAMPANA FREIDORAS (3)         ;17-JUN-06;         ;ANSUL          ;R-102;  8;  3;  5;LT-3012             ;         ;003177              ;
MTO/BKQ BAJA;0023037;BURGER KING TORRENTE (CERRADO);2;CAMPANA BROILER               ;17-JUN-06;         ;ANSUL          ;R-102;  7;  1;  4;LT-3012             ;         ;003175              ;
MTO/BKQ-01;0023018;B.K.3259 - BENIDORM I - Av.AMETLLA MAR;1;CAMPANA FREIDORAS             ;22-ABR-02;17-NOV-22;ANSUL          ;R-102;  9;  3;  5;193541 10/01        ;         ;                    ;
MTO/BKQ-01;0023018;B.K.3259 - BENIDORM I - Av.AMETLLA MAR;2;CAMPANA BROILER               ;22-ABR-02;17-NOV-22;ANSUL          ;R-102;  7;  1;  4;193538 10/01        ;         ;                    ;
MTO/BKQ-02;0023013;;1;CAMPANA FREIDORAS             ;17-ABR-02;28-JUL-15;ANSUL          ;R-102;  9;  3;  5;LT-30; 1-OCT-10;                    ;
MTO/BKQ-02;0023013;;2;CAMPANA BROILER               ;17-ABR-02;28-JUL-15;ANSUL          ;R-102;  7;  1;  4;CO2 B-100067355 NS 2;         ;                    ;
MTO/BKQ-03;0023002;B.K.3709 - VALENCIA II * Pza. Ayto;1;CAMP.FREIDORAS + CAMP. BROILER;22-NOV-13; 4-JUL-22;ANSUL          ;R-102 TANDEM; 18;  5; 10;DOBLE TANK; 1-NOV-06;                    ;
MTO/BKQ-04;0023007;B.K.3743 - MURCIA I * Pza. Sto. Domingo;1;CAMP. FREIDORAS Y CAMP.BROILER;18-ABR-02;10-JUL-20;ANSUL          ;R-102 TANDEM; 16;  4;  9;DOBLE TANK;         ;                    ;
MTO/BKQ-05;0023004;B.K.6518 - ALICANTE I * Explanada Esp;1;CAMPANA FREIDORAS             ;20-ABR-02;19-JUL-22;ANSUL          ;R-102; 11;  3;  6;193525 10/01        ;         ;                    ;
MTO/BKQ-05;0023004;B.K.6518 - ALICANTE I * Explanada Esp;2;CAMPANA BROILER               ;20-ABR-02;19-JUL-22;ANSUL          ;R-102;  7;  1;  4;193522 10/01        ;         ;                    ;
MTO/BKQ-06;0023055;B.K.18504 - VALENCIA IV * YECLA ;1;C.FREIDORAS + C. BROILER;11-ENE-12; 9-NOV-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-AGO-04;S-008661;
MTO/BKQ-07;0023003;B.K.8323 - VALENCIA V - NUEVO CENTRO;1;CAMPANA FREIDORAS (4)         ;18-NOV-05; 3-SEP-22;ANSUL          ;R-102; 11;  4;  6;LT-30;         ;S-002442            ;
MTO/BKQ-07;0023003;B.K.8323 - VALENCIA V - NUEVO CENTRO;2;CAMPANA BROILER               ;18-NOV-05; 3-SEP-22;ANSUL          ;R-102;  5;  1;  4;LT-30;         ;                    ;
MTO/BKQ-08;0023015;B.K.8529 - BENIDORM II * Av.Alcoy;1;CAMPANA FREIDORA;21-NOV-06; 2-NOV-22;ANSUL          ;R-102;  9;  3;  5;lt-30;         ;003248;
MTO/BKQ-08;0023015;B.K.8529 - BENIDORM II * Av.Alcoy;2;CAMPANA BROILER;21-NOV-06; 2-NOV-22;ANSUL          ;R-102;  5;  1;  4;002774;         ;;
MTO/BKQ-09;0023025;B.K.8865 - VALENCIA VI - Av.ARAGON;1;CAMP.FREIDORAS Y CAMP.BROILER; 9-DIC-04;19-OCT-22;ANSUL          ;TANDEM; 16;  4;  9;DOBLE TANK; 1-JUL-14;                    ;
MTO/BKQ-10;0023021;B.K.9177 - CALPE ALICANTE;1;CAMP.FREIDORAS Y CAMP.BROILER ;21-JUL-95;18-NOV-22;SF/A 300       ;TANDEM; 16;  4;  9;DOBLE TANK; 1-JUL-14;                    ;
MTO/BKQ-100;0023113;B.K.20194 - ALBORAYA;1;CAMP.FREIDORAS Y CAMP. BROILER; 6-MAR-14; 7-JUL-22;SF/A 300       ;TANDEM; 20;  5; 11;DOBLE TANK;         ;;
MTO/BKQ-101;0023115;B.K. 20250 - ESPLUGUES DE LLOBREGAT;1;CAMP.FREIDORAS Y CAMP. BROILER;14-MAR-14; 8-MAR-18;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;;
MTO/BKQ-102;0023118;B.K.17247 - CORNELLA * C.C. EROSKI;1;CAMPANA FREIDORAS (4); 3-JUL-09;12-ENE-18;ANSUL          ;; 11;  4;  6;; 1-OCT-08;006344;
MTO/BKQ-102;0023118;B.K.17247 - CORNELLA * C.C. EROSKI;2;CAMPANA BROILER; 3-JUL-09;12-ENE-18;ANSUL          ;;  9;  2;  5;; 1-OCT-8 ;006344;
MTO/BKQ-103;0023117;B.K.17341 - SANT ANDREU BARCA * ATRIUM;1;CAMPANA FRANKE; 5-NOV-09;12-ENE-18;SF/A 300       ;Tandem; 18;  6; 10;; 1-SEP-07;S.006237;
MTO/BKQ-104;0023119;B.K.17559 - BARCELONA * PORT OLIMPIC;1;FREIDORAS; 8-MAR-10; 5-JUN-18;ANSUL          ;R-102; 11;  4;  6;; 1-FEB-07;007012;
MTO/BKQ-104;0023119;B.K.17559 - BARCELONA * PORT OLIMPIC;2;BROILER; 8-MAR-10; 5-JUN-18;ANSUL          ;R-102;  7;  1;  4;; 1-FEB-04;007058;
MTO/BKQ-105;0023114;B.K.20375 - MADRID * ALCALA, 472 ;1;CAMP.FREIDORAS Y CAMP. BROILER;19-MAY-14;19-MAR-19;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-OCT-13;S-10119;
MTO/BKQ-106;0023120;B.K.20196 - SANT BOI;1;CAMP. FREIDORAS Y CAMP.BROILER;29-MAY-14;21-JUN-18;SF/A 300       ;TANDEM; 18;  6; 10;DOBLE TANK; 1-OCT-13;S-10097;
MTO/BKQ-107;0023116;B.K. 20363 - Bravo Murillo, 119;1;CAMP. FREIDORAS Y CAMP.BROILER;16-JUN-14;20-JUN-19;SF/A 300       ;TANDEM; 18;  6; 10;DOBLE TANK; 1-MAR-10;S-009599;
MTO/BKQ-108;0023122;B.K.20208 - BOADILLA DEL MONTE;1;CAMP. FREIDORAS Y CAMP.BROILER;30-JUN-14;24-ENE-19;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-SEP-13;S-0010117;
MTO/BKQ-109;0023121;B.K.20254 - ALCALA DE HENARES;1;CAMP.FREIDORAS Y CAMP. BROILER;29-JUL-14;10-ENE-19;SF/A 300       ;TANDEM; 18;  6; 10;DOBLE TANK; 1-NOV-13;S-10089;
MTO/BKQ-11;0023032;B.K.15801 - MURCIA III - C.C.THADER;1;CAMPANA FREIDORAS (4)         ;16-OCT-06;19-NOV-22;ANSUL          ;R-102; 11;  3;  6;LT-30 R             ;         ;S-003241            ;
MTO/BKQ-11;0023032;B.K.15801 - MURCIA III - C.C.THADER;2;CAMPANA BROILER               ;16-OCT-06;19-NOV-22;ANSUL          ;R-102;  7;  1;  4;LT-30 R             ;         ;S-003216            ;
MTO/BKQ-110;0023123;B.K.20600 - Ronda Sant Pau - BARCELONA;1;CAMP.FREIDORAS Y CAMP. BROILER;29-AGO-14; 7-MAR-18;SF/A 300       ;TANDEM; 18;  4; 10;DOBLE TANK; 1-OCT-13;S-10274;
MTO/BKQ-111;0023124;B.K.20567 - CARTAGENA;1;CAMP.FREIDORAS Y CAMP. BROILER;28-AGO-14;10-SEP-22;SF/A 300       ;TANDEM; 18;  4; 10;DOBLE TANK;         ;;
MTO/BKQ-112;0023125;B.K. 20607 - SAN VICENTE;1;CAMP.FREIDORAS Y CAMP. BROILER; 4-SEP-14;19-OCT-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;S-017124;
MTO/BKQ-113;0023126;B.K. 20453 - SAN CHINARRO;1;CAMP.FREIDORAS Y CAMP. BROILER;25-AGO-14;22-FEB-19;SF/A 300       ;TANDEM; 18;  6; 10;DOBLE TANK; 1-JUN-13;S-10286;
MTO/BKQ-114;0023127;B.K.20726 - GODELLA ;1;CAMP.FREIDORAS + CAMP. BROILER;25-OCT-14;11-NOV-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;S-10321;
MTO/BKQ-115;0023128;B.K.20730 ALICANTE - C.C. GRAN VIA;1;CAMP.FREIDORAS + CAMP. BROILER;18-NOV-14;16-NOV-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-NOV-13;S-10287;
MTO/BKQ-116;0023129;B.K.20606 - VALDEMORO;1;CAMP.FREIDORAS Y CAMP.BROILER;16-OCT-14;15-ABR-19;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;S-10316;
MTO/BKQ-117;0023131;B.K.20568 - BARBERA DEL VALLES;1;CAMP FREIDORAS Y CAMP BROILER;27-NOV-14;27-MAY-18;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;S-10385;
MTO/BKQ-118;0023133;B.K.20858 - ALZIRA;1;CAMP.FREIDORAS Y CAMP.BROILER;12-DIC-14;21-JUN-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;;
MTO/BKQ-119;0023139;B.K. 20859 - ONDARA;1;CAMP.FREIDORAS Y CAMP.BROILER; 9-ENE-15;17-JUL-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-JUL-14;S-10480;
MTO/BKQ-12;0023024;B.K.11349 - BENIDORM III - Av.URUGUAY;1;CAMPANA FREIDORAS (3)         ;22-JUL-06;25-OCT-16;ANSUL          ;R-102;  9;  3;  5;                    ;         ;                    ;
MTO/BKQ-12;0023024;B.K.11349 - BENIDORM III - Av.URUGUAY;2;CAMPANA BROILER               ;22-JUL-06;25-OCT-16;ANSUL          ;R-102;  7;  1;  4;                    ;         ;                    ;
MTO/BKQ-120;0023137;B.K. 17593 - TRES CRUCES;1;FREIDORAS (4);13-MAY-10;19-OCT-22;ANSUL          ;R-102; 11;  4;  6;LT-30  01/01/09; 1-ENE-09;S-007010;
MTO/BKQ-120;0023137;B.K. 17593 - TRES CRUCES;2;BROILER;13-MAY-10;19-OCT-22;ANSUL          ;R-102;  7;  1;  4;LT-30 01/01/09; 1-ENE-09;S-007066;
MTO/BKQ-121;0023136;B.K. 16496 - MALVARROSA;1;CAMPANA FREIDORAS (4);16-JUN-08; 3-SEP-22;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-FEB-08;188470-ANSUL;
MTO/BKQ-121;0023136;B.K. 16496 - MALVARROSA;2;CAMPANA BROILER;16-JUN-08; 3-SEP-22;ANSUL          ;R-102;  7;  2;  4;lt-30; 1-DIC-17;188474-ANSUL;
MTO/BKQ-122;0023138;B.K. 18565 - ALCOY;1;CAMP. BROILER + CAMP.FREIDORAS;22-MAY-12;14-ABR-20;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-MAY-08;;
MTO/BKQ-123;0023135;B.K. 18897 - PERIS Y VALERO - VALENCIA;1;CAMPANA FREIDORAS (4);         ;10-NOV-22;ANSUL          ;R-102; 11;  4;  6;LT-30;         ;;
MTO/BKQ-123;0023135;B.K. 18897 - PERIS Y VALERO - VALENCIA;2;CAMPANA BROILER;         ;10-NOV-22;ANSUL          ;R-102;  7;  1;  4;LT-30;         ;;
MTO/BKQ-124;0023140;B.K.12485 - ACAPULCO;1;CAMP.FREIDORAS Y CAMP.BROILER ; 1-JUN-00; 7-OCT-22;ANSUL          ;R-102; 16;  4;  9;DOBLE TANK;         ;                    ;
MTO/BKQ-125;0023141;B.K.21077 - CARREFOUR PALMA;1;CAMP.FREIDORAS Y CAMP.BROILER;30-MAY-06;25-JUL-22;ANSUL          ;R-102; 18;  4; 10;502725              ;         ;                    ;
MTO/BKQ-126;0023150;B.K.7103 - CALA MILLOR;1;CAMP. FREIDORAS Y CAMP.BROILER;26-FEB-06;10-AGO-22;ANSUL          ;R-102 TANDEM; 18;  4; 10;DOBLE TANK; 1-OCT-17;002425;
MTO/BKQ-127;0023149;B.K.7099 - CALA RATJADA;1;CAMPANA FREIDORAS (3)         ;21-FEB-06;25-OCT-22;ANSUL          ;R-102;  9;  3;  5;                    ;         ;                    ;
MTO/BKQ-127;0023149;B.K.7099 - CALA RATJADA;2;CAMPANA BROILER               ;21-FEB-06;25-OCT-22;ANSUL          ;R-102;  5;  1;  4;                    ;         ;                    ;
MTO/BKQ-128;0023148;B.K.14355 - CALA D'OR;1;CAMPANA FREIDORAS (4)         ;25-FEB-06; 8-OCT-22;ANSUL          ;R-102; 11;  3;  6;                    ;         ;                    ;
MTO/BKQ-128;0023148;B.K.14355 - CALA D'OR;2;CAMPANA BROILER               ;25-FEB-06; 8-OCT-22;ANSUL          ;R-102;  5;  1;  4;                    ;         ;                    ;
MTO/BKQ-129;0023147;B.K.15616 - AEROPUERTO DE PALMA;1;CAMPANA FREIDORAS (4)         ;29-MAY-06;25-OCT-22;ANSUL          ;R-102; 11;  4;  6;LT-30               ;         ;                    ;
MTO/BKQ-129;0023147;B.K.15616 - AEROPUERTO DE PALMA;2;CAMPANA BROILER               ;29-MAY-06;25-OCT-22;ANSUL          ;R-102;  5;  1;  4;LT-30               ;         ;                    ;
MTO/BKQ-13;0023012;B.K.11930 - MURCIA II - LAS ATALAYAS;1;CAMPANA FREIDORAS (4)         ;18-ENE-05;21-JUL-22;ANSUL          ;R-102; 11;  3;  6;05/04               ;         ;25511               ;
MTO/BKQ-13;0023012;B.K.11930 - MURCIA II - LAS ATALAYAS;2;CAMPANA BROILER               ;18-ENE-05;21-JUL-22;ANSUL          ;R-102;  7;  1;  4;03/04               ;         ;25400               ;
MTO/BKQ-130;0023146;B.K.18588 - PLAZA MAYOR PALMA;1;CAMP.BROILER + CAMP. FREIDORAS;31-MAY-12;18-FEB-22;SF/A 300       ;TANDEM; 18;  6; 10;DOBLE TANK; 1-JUN-08;;
MTO/BKQ-131;0023145;B.K.12642 - SA COMA;1;CAMP. FREIDORAS+CAMP. BROILER ;30-JUN-99;25-OCT-22;ANSUL          ;R-102 TANDEM; 18;  4; 10;DOBLE TANK; 1-JUN-08;S-008101;
MTO/BKQ-132;0023144;B.K.15617 - ARENAL;1;CAMPANA FREIDORAS (3)         ;27-MAY-06; 7-OCT-22;ANSUL          ;R-102; 11;  3;  6;LT-30               ;         ;S-002731            ;
MTO/BKQ-132;0023144;B.K.15617 - ARENAL;2;CAMPANA BROILER               ;27-MAY-06; 7-OCT-22;ANSUL          ;R-102;  5;  1;  4;LT-30               ;         ;S-002728            ;
MTO/BKQ-133;0023143;B.K.14993 - PORTO CRISTO;1;CAMP.FREIDORAS Y CAMP.BROILER; 3-MAY-04;10-SEP-22;ANSUL          ;R-102 TANDEM; 18;  5; 10;DOBLE TANK; 1-JUL-18;062308              ;
MTO/BKQ-134;0023151;B.K.20601 - MOLLET DEL VALLES ;1;CAMP.FREIDORAS Y CAMP.BROILER; 2-MAR-15; 5-MAR-18;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-JUL-14;S-0010520;
MTO/BKQ-135;0023142;B.K.21260 - BCN CALLE TARRAGONA;1;CAMP.FREIDORAS Y CAMP.BROILER;15-MAR-15;16-ABR-18;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-SEP-07;S-168236 ANSUL;
MTO/BKQ-136;0023152;B.K.21519 - CASTELLDEFELS;1;CAM. FREIDORAS Y CAMP BROILER;25-JUN-15; 6-MAR-18;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;;
MTO/BKQ-137;0023154;B.K.21891 - BARICENTRO;;CAMP. FREIDORA Y CAMP BROILER; 1-SEP-15; 5-ABR-18;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK; 1-AGO-14;ANSUL-305893;
MTO/BKQ-138;0023155;B.K.21890 - REUS - C.C. LA FIRA;1;CAMP.FREIDORAS Y CAMP. BROILER;23-NOV-15; 4-JUN-18;SF/A 300       ;TANDEM; 18;  0; 10;DOBLE TANK;         ;;
MTO/BKQ-139;0023156;B.K.22018 - MARRATXI;1;CAMP. FREIDORAS Y CAMP.BROILER;23-NOV-15;20-NOV-22;SF/A 300       ;TANDEM; 18;  5; 10;DOBLE TANK;         ;;
