NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;DESC. TIPO SIST.;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;
;0023025;B.K.8865 - VALENCIA VI - Av.ARAGON;2;CAMPANA BROILER               ; 9-DIC-04;30-ABR-15;ANSUL          ;R-102;  5;  1;  4;                    ;         ;                    ;
;0023021;B.K.9177 - CALPE ALICANTE;2;CAMPANA BROILER               ;21-JUL-95;12-MAY-15;SF/A 300       ;;  5;  1;  5;                    ;         ;                    ;
;0023010;B.K.13783 - PETRER - ALICANTE;2;CAMPANA BROILER               ;10-ENE-01;11-MAY-19;ANSUL          ;R-102;  5;  1;  4;                    ;         ;49505               ;
;0023026;B.K.14903 - ALICANTE V - SANT VICENT ;2;CAMPANA BROILER               ;28-MAY-04; 7-JUL-14;ANSUL          ;R-102;  7;  1;  4;                    ;         ;                    ;
;0023027;B.K.14976 - ELCHE ALICANTE;2;CAMPANA BROILER               ;21-JUL-04;11-ENE-15;ANSUL          ;R-102;  7;  1;  4;                    ;         ;                    ;
;0023070;B.K.14897 - SITGES;1;CAMPANA FREIDORAS (3)         ;16-FEB-04; 9-MAR-14;ANSUL          ;R-102;  9;  3;  5;134453  DE JUL03    ;         ;                    ;
;0023070;B.K.14897 - SITGES;2;CAMPANA BROILER               ;16-FEB-04; 9-MAR-14;ANSUL          ;R-102;  5;  1;  4;428441 DEL 05/2004  ;         ;                    ;
;0023051;B.K.5871 - VALENCIA III - CAMPANAR;2;CAMPANA BROILER               ; 3-FEB-04;19-MAR-15;ANSUL          ;R-102;  5;  1;  4;207608 DE OCT.03    ;         ;                    ;
;0685028;B.K. 15531 AEROPUERTO PALMA DE MALLORCA;2;CAMPANA BROILER               ;16-ENE-06;23-JUN-20;ANSUL          ;R-102;  5;  2;  4;                    ;         ;LT-30               ;
;4069002;B.K. 19429 - TORRENOVA;2;CAMPANA BROILER               ;12-MAR-03; 5-JUN-14;ANSUL          ;R-102;  7;  1;  4;297246              ;         ;                    ;
;3698;B.K.11629 PLAYA D'EMBOSSA;2;CAMPANA BROILER               ; 6-ABR-05;27-MAY-15;ANSUL          ;R-102;  5;  1;  4;dic-04              ;         ;25953               ;
;3698001;B.K.14002 SAN ANTONIO I - IBIZA;2;CAMPANA BROILER               ; 7-ABR-05; 3-DIC-16;ANSUL          ;R-102;  5;  1;  4;LT-30; 1-NOV-07;51823               ;
;3698002;B.K.14322 SAN ANTONIO II - IBIZA;2;CAMPANA BROILER               ; 8-ABR-05; 3-JUN-17;ANSUL          ;R-102;  5;  1;  4;LT-30;         ;59006               ;
;0023043;B.K.10136 - TORREVIEJA 2 PLAYA;2;CAMPANA BROILER               ; 1-AGO-96; 1-ABR-13;ANSUL          ;R-102;  0;  0;  0;Americano LT30      ;         ;                    ;
;0023043;B.K.10136 - TORREVIEJA 2 PLAYA;3;CAMPANA FREIDORAS (3)         ;15-JUL-99; 1-ABR-13;SF/P 260       ;;  9;  0;  0;                    ;         ;                    ;
;0023043;B.K.10136 - TORREVIEJA 2 PLAYA;4;CAMPANA BROILER               ;15-JUL-99; 1-ABR-13;SF/P 260       ;;  5;  0;  0;                    ;         ;                    ;
;3270001;B.K.8530 IBIZA CENTRO;1;CAMPANA FREIDORAS (4)         ; 5-ABR-05; 3-DIC-16;ANSUL          ;R-102; 11;  4;  6;LT-30; 1-AGO-08;S-001595;
;;COLEGIO JOAN VENY I CLAR;2;CAMPANA BROILER               ;13-MAR-01;19-ABR-17;ANSUL          ;R-102;  7;  1;  4;                    ;         ;                    ;
;3765;RESTAURANTE GALICIA;1;CAMPANA PARED                 ;17-MAR-04;         ;SF/A 300       ;; 11;  3;  7;80992     ; 1-OCT-03;                    ;
;0638002;HOTEL TRYP REY PELAYO;3;CONDUCTO;23-DIC-99;15-AGO-16;SF/P 260       ;;  4;  1;  4;;         ;;
;0685035;BK 14388 AEROPUERTO DE IBIZA;2;CAMPANA BROILER; 1-SEP-02;18-OCT-18;ANSUL          ;R-102 ;  7;  2;  4;;         ;;
;3154;HOTEL BARCELO - OVIEDO;2;CAMPANA ESPECIAL BUFFET; 7-AGO-07;28-FEB-19;SF/A 300       ;;  6;  3;  5;LT-30; 1-ENE-07;S-004515;
;2305;REST. EL REY DE LA GAMBA I;3;SISTEMA DESMONTADO!!!!!!!;19-MAR-98; 3-NOV-16;SF/P 260       ;WHDR 250;  0;  0;  0;;         ;;
;4620;REST. FEROZ;1;CAMPANA CENTRAL;12-MAR-08;17-DIC-17;SF/A 300       ;; 11;  3;  8;; 1-NOV-06;005542;
;1669001;BURGER KING MANACOR;2;CAMPANA BROILER;15-JUN-05; 8-ABR-16;ANSUL          ;R-102;  5;  1;  4;;         ;;
;4069003;BK 19469 - MAGALLUF;2;CAMPANA BROILER;26-MAR-14;26-JUL-14;SF/A 300       ;;  4;  0;  4;;         ;;
;0023052;B.K.16034 - BENICARLO * Costa Azahar;1;CAMPANA FRANKE FREIDO + BROILE;         ;         ;ANSUL          ;R-102 TANDEM; 18;  5; 10;DOBLE TANK; 1-ABR-06;S-175051;
;4142;REST. EL FILANDON;4;CAMPANA PARED 2¶ PLANTA; 5-AGO-11;23-JUN-21;SF/P 260       ;;  8;  3;  8;;         ;;
;0685035;BK 14388 AEROPUERTO DE IBIZA;4;CAMPANA BROILER; 1-SEP-02;18-OCT-18;ANSUL          ;R-102;  7;  2;  4;;         ;;
;0023086;B.K.14413 - HOSPITALET * GRAN VIA 2;2;CAMPANA BROILER;         ;17-SEP-15;SF/A 300       ;;  7;  1;  4;;         ;;
;0023081;B.K.13680 - MANRESA;2;CAMPANA BROILER;         ; 9-ABR-15;SF/A 300       ;;  7;  1;  4;;         ;;
;0023087;B.K.14252 - MATARO;2;CAMPANA BROILER;         ; 4-DIC-15;SF/A 300       ;;  7;  1;  4;;         ;;
;0023078;B.K.11194 - SANT CUGAT;2;CAMPANA BROILER;         ; 8-MAR-15;SF/A 300       ;;  7;  1;  4;;         ;;
;0023080;B.K.13682 - TERRASSA 2 FS;2;CAMPANA BROILER;         ;19-SEP-15;SF/A 300       ;;  7;  1;  4;;         ;;
;0023108;B.K.17492 - VILAFRANCA DEL PENEDES;2;CAMAPANA BROILER;         ;18-SEP-15;SF/A 300       ;;  7;  1;  4;;         ;;
