NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;
;;;;;;         ;;         ;
;0023297;B.K.15168 - MARIA AUXILIADORA;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3659;;2;CAMPANA HORNOS Y FREIDORA ;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023414;B.K.26732 - AVDA. DE BURGOS FS;;;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
-;3922002;RESIDENCIA ASISTIDA;1;CAMPANA;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
----;2305;REST. EL REY DE LA GAMBA I;1;CAMPANA PLANCHA               ;2020; 1-NOV-30;LIQUIDO AZUL HE; 1-OCT-20;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
----;2305;REST. EL REY DE LA GAMBA I;2;CAMPANA DE PARED FOGONES;nß01172412 f.22/6/17; 1-SEP-27;LIQUIDO AZUL HE; 1-SEP-17;
;;;;;sf/P 260; 1-SEP-27;LIQUIDO AZUL HE; 1-SEP-17;
;;;;;;         ;;         ;
...;1553004;HOTEL FOXA - TRES CANTOS;1;CAMPANA PARED COCINA Nß1;; 1-JUN-11;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
...;1553004;HOTEL FOXA - TRES CANTOS;2;CAMPANA PARED COCINA Nß 2;; 1-JUN-11;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
...;1553004;HOTEL FOXA - TRES CANTOS;3;CAMPANA PARED COCINA Nß3;; 1-JUN-11;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
...;1553004;HOTEL FOXA - TRES CANTOS;4;CAMPANA PARED COCINA Nß4;; 1-JUN-11;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
...;1553004;HOTEL FOXA - TRES CANTOS;5;CAMPNA CENTRAL COC.HOTEL Nß2-B;; 1-JUN-11;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
AC-SF-0809022;3609;LA TAVOLA DE BANGALOO;1;CAMPANA PARED 3m;2008; 1-DIC-18;L8040; 1-ABR-08;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/01;0127006;VIENA FILADORS SABADELL;1;CAMPANA PARED                 ;                    ; 1-DIC-28;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/01;0127006;VIENA FILADORS SABADELL;2;CAMPANA PARED;; 1-DIC-28;LIQUIDO AZUL HE; 1-SEP-29;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/02;0127012;VIENA PARK VALLES;1;CAMPANA PRINCIPAL             ;Nß00971514 FE10/9/15; 1-NOV-25;L-5044; 1-MAY-15;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/02;0127012;VIENA PARK VALLES;2;CAMPANA FREIDORAS             ;Nß00971540 FE10/9/15; 1-NOV-25;L-5043; 1-MAY-15;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/04;0127002;VIENA TERRASSA - C/ Joan Coromines;1;CAMPANA CENTRAL               ;01158-02; 1-SEP-21;liquido nuevo; 1-NOV-10;
;;;;;01158-03; 1-SEP-21;liquido nuevo; 1-NOV-10;
;;;;;;         ;;         ;
BAR-05-02-01/05;0127014;VIENA RAMASSAR;1;CAMPANA FREIDORA Y COCINA     ;Nß0111845 F.2/12/16; 1-ENE-27;LIQUIDO AZUL HE; 1-MAR-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/05;0127014;VIENA RAMASSAR;2;CAMPANA CENTRAL               ;Nß01118814 F.2/12/16; 1-ENE-27;LIQUIDO AZUL  HE; 1-MAR-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/06;0127015;VIENA XALET MONTSERRAT;1;CAMPANA FREIDORAS             ;03188/21    15/05/07; 1-SEP-27;liquido azul he; 1-SEP-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/06;0127015;VIENA XALET MONTSERRAT;2;CAMPANA PRINCIPAL             ;07154/19    28/10/05; 1-SEP-27;liquido azul he; 1-SEP-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
