NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;
;0023010;B.K.13783 - PETRER - ALICANTE;2;CAMPANA BROILER               ;10-ENE-01;11-MAY-19;ANSUL          ;  5;  1;  4;2011;         ;L-1101; 1-ENE-11;;         ;;         ;;         ;;         ;                    ;;49505               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023026;B.K.14903 - ALICANTE V - SANT VICENT ;2;CAMPANA BROILER               ;28-MAY-04; 7-JUL-14;ANSUL          ;  7;  1;  4;                    ; 1-JUN-14;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L2W  ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023027;B.K.14976 - ELCHE ALICANTE;2;CAMPANA BROILER               ;21-JUL-04;11-ENE-15;ANSUL          ;  7;  1;  4;; 1-JUL-14;L7002; 1-ENE-07;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L2W  ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023070;B.K.14897 - SITGES;1;CAMPANA FREIDORAS (3)         ;16-FEB-04; 9-MAR-14;ANSUL          ;  9;  3;  5;0612870 DE 29-7-03  ;         ;L-3072 de Oct-0;         ;;         ;;         ;;         ;;         ;134453  DE JUL03    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  3;  2;  6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023070;B.K.14897 - SITGES;2;CAMPANA BROILER               ;16-FEB-04; 9-MAR-14;ANSUL          ;  5;  1;  4;0400128 DEL 15-5-03 ;         ;L-4040 DEL 05/2;         ;;         ;;         ;;         ;;         ;428441 DEL 05/2004  ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023051;B.K.5871 - VALENCIA III - CAMPANAR;2;CAMPANA BROILER               ; 3-FEB-04;19-MAR-15;ANSUL          ;  5;  1;  4;0612866 DEL 29-7-03 ; 1-FEB-14;L-3051 de 2003 ;         ;;         ;;         ;;         ;;         ;207608 DE OCT.03    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0685028;B.K. 15531 AEROPUERTO PALMA DE MALLORCA;2;CAMPANA BROILER               ;16-ENE-06;23-JUN-20;ANSUL          ;  5;  2;  4;S-002486            ; 1-MAR-26;;         ;;         ;;         ;;         ;;         ;                    ;;LT-30               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4069002;B.K. 19429 - TORRENOVA;2;CAMPANA BROILER               ;12-MAR-03; 5-JUN-14;ANSUL          ;  7;  1;  4;2013; 1-JUL-23;;         ;;         ;;         ;;         ;;         ;297246              ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L2W  ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3698;B.K.11629 PLAYA D'EMBOSSA;2;CAMPANA BROILER               ; 6-ABR-05;27-MAY-15;ANSUL          ;  5;  1;  4;inox-05             ;         ;L-5008 ene-05  ;         ;;         ;;         ;;         ;;         ;dic-04              ;;25953               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3698001;B.K.14002 SAN ANTONIO I - IBIZA;2;CAMPANA BROILER               ; 7-ABR-05; 3-DIC-16;ANSUL          ;  5;  1;  4;2012; 1-ENE-22;L-01014; 1-FEB-11;;         ;;         ;;         ;;         ;LT-30;071101;51823               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3698002;B.K.14322 SAN ANTONIO II - IBIZA;2;CAMPANA BROILER               ; 8-ABR-05; 3-JUN-17;ANSUL          ;  5;  1;  4;2013; 1-MAY-23;L-2044; 1-MAY-12;;         ;;         ;;         ;;         ;LT-30;;59006               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
