NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23007;B.K.3743 - MURCIA I * Pza. Sto. Domingo;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23025;B.K.8865 - VALENCIA VI - Av.ARAGON;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23021;B.K.9177 - CALPE ALICANTE;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L1N  ;2;1;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1N  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23010;B.K.13783 - PETRER - ALICANTE;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23026;B.K.14903 - ALICANTE V - SANT VICENT ;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23027;B.K.14976 - ELCHE ALICANTE;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;4
;;;;;;;;;;
